Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
65,Pinus contorta,50463_3_63_6_2_127,2005,1.576376183,-121.4166667,40.0
66,Pinus contorta,50463_3_63_6_2_127,2015,3.032165497,-121.4166667,40.0
67,Pinus contorta,50463_3_63_6_2_130,2015,2.752479497,-121.4166667,40.0
68,Pinus contorta,50463_3_63_6_2_130,2005,1.029717183,-121.4166667,40.0
69,Pinus contorta,50463_3_63_6_3_115,2005,1.258551183,-121.4166667,40.0
70,Pinus contorta,50463_3_63_6_3_115,2015,2.866896497,-121.4166667,40.0
71,Pinus contorta,50463_3_63_6_3_116,2005,1.601802183,-121.4166667,40.0
72,Pinus contorta,50463_3_63_6_3_116,2015,3.133869497,-121.4166667,40.0
73,Pinus contorta,50463_3_63_6_3_118,2005,3.648595183,-121.4166667,40.0
74,Pinus contorta,50463_3_63_6_3_118,2015,5.117097497,-121.4166667,40.0
75,Pinus contorta,50595_5_5_6_2_109,2014,2.125469933,-120.2083333,38.54166667
76,Pinus contorta,50595_5_5_6_2_109,2004,2.562435693,-120.2083333,38.54166667
77,Pinus contorta,50595_5_5_6_2_109,2014,2.125469933,-120.2083333,38.54166667
78,Pinus contorta,50595_5_5_6_2_111,2014,2.354303933,-120.2083333,38.54166667
79,Pinus contorta,50595_5_5_6_2_111,2004,2.867547693,-120.2083333,38.54166667
80,Pinus contorta,50595_5_5_6_2_111,2014,2.354303933,-120.2083333,38.54166667
81,Pinus contorta,50595_5_5_6_2_112,2014,1.604236933,-120.2083333,38.54166667
82,Pinus contorta,50595_5_5_6_2_112,2004,2.155619693,-120.2083333,38.54166667
83,Pinus contorta,50595_5_5_6_2_112,2014,1.604236933,-120.2083333,38.54166667
84,Pinus contorta,50595_5_5_6_2_113,2014,1.591523933,-120.2083333,38.54166667
85,Pinus contorta,50595_5_5_6_2_113,2004,2.142906693,-120.2083333,38.54166667
86,Pinus contorta,50595_5_5_6_2_113,2014,1.591523933,-120.2083333,38.54166667
87,Pinus contorta,50595_5_5_6_2_114,2014,1.845783933,-120.2083333,38.54166667
88,Pinus contorta,50595_5_5_6_2_114,2014,1.845783933,-120.2083333,38.54166667
89,Pinus contorta,50595_5_5_6_2_114,2004,2.384453693,-120.2083333,38.54166667
90,Pinus contorta,50595_5_5_6_2_117,2014,1.705940933,-120.2083333,38.54166667
91,Pinus contorta,50595_5_5_6_2_117,2004,2.181045693,-120.2083333,38.54166667
92,Pinus contorta,50595_5_5_6_2_117,2014,1.705940933,-120.2083333,38.54166667
93,Pinus contorta,50651_5_19_6_2_126,2002,2.73560305,-118.9166667,37.0
94,Pinus contorta,50651_5_19_6_2_126,2012,1.310493208,-118.9166667,37.0
95,Pinus contorta,50651_5_19_6_3_110,2002,1.28632105,-118.9166667,37.0
96,Pinus contorta,50651_5_19_6_3_110,2012,-0.011658792,-118.9166667,37.0
97,Pinus contorta,50651_5_19_6_3_112,2002,2.86273305,-118.9166667,37.0
98,Pinus contorta,50651_5_19_6_3_112,2012,1.564753208,-118.9166667,37.0
99,Pinus contorta,50651_5_19_6_4_113,2002,2.721636208,-118.9166667,37.0
100,Pinus contorta,50651_5_19_6_4_113,2002,4.21031105,-118.9166667,37.0
101,Pinus contorta,50651_5_19_6_4_113,2012,2.721636208,-118.9166667,37.0
102,Pinus contorta,50651_5_19_6_4_113,2012,4.21031105,-118.9166667,37.0
103,Pinus contorta,50651_5_19_6_4_123,2002,4.35015405,-118.9166667,37.0
104,Pinus contorta,50651_5_19_6_4_123,2012,2.899618208,-118.9166667,37.0
105,Pinus contorta,51012_3_7_6_3_18,2010,2.351239484,-121.4166667,40.08333333
106,Pinus contorta,51012_3_7_6_3_18,2020,1.290864915,-121.4166667,40.08333333
107,Pinus contorta,51012_3_7_6_3_23,2010,1.346912484,-121.4166667,40.08333333
108,Pinus contorta,51012_3_7_6_3_23,2020,0.286537915,-121.4166667,40.08333333
109,Pinus contorta,51012_3_7_6_3_26,2020,1.214586915,-121.4166667,40.08333333
110,Pinus contorta,51012_3_7_6_3_26,2010,2.363952484,-121.4166667,40.08333333
111,Pinus contorta,51544_5_19_6_1_100,2008,-0.835793998,-119.0,37.16666667
112,Pinus contorta,51544_5_19_6_1_100,2018,-0.33912712,-119.0,37.16666667
113,Pinus contorta,51544_5_19_6_1_101,2008,0.054116002,-119.0,37.16666667
114,Pinus contorta,51544_5_19_6_1_101,2018,0.49993088,-119.0,37.16666667
115,Pinus contorta,51544_5_19_6_1_102,2008,4.109563002,-119.0,37.16666667
116,Pinus contorta,51544_5_19_6_1_102,2018,4.56809088,-119.0,37.16666667
117,Pinus contorta,51544_5_19_6_1_103,2008,2.469586002,-119.0,37.16666667
118,Pinus contorta,51544_5_19_6_1_103,2018,2.90268788,-119.0,37.16666667
119,Pinus contorta,51544_5_19_6_1_104,2018,2.482299002,-119.0,37.16666667
120,Pinus contorta,51544_5_19_6_1_104,2018,2.83912288,-119.0,37.16666667
121,Pinus contorta,51544_5_19_6_1_104,2008,2.482299002,-119.0,37.16666667
122,Pinus contorta,51544_5_19_6_1_104,2008,2.83912288,-119.0,37.16666667
123,Pinus contorta,51544_5_19_6_1_105,2008,3.334070002,-119.0,37.16666667
124,Pinus contorta,51544_5_19_6_1_105,2018,3.76717188,-119.0,37.16666667
125,Pinus contorta,51544_5_19_6_2_119,2008,2.901828002,-119.0,37.16666667
126,Pinus contorta,51544_5_19_6_2_119,2018,3.29679088,-119.0,37.16666667
127,Pinus contorta,51544_5_19_6_2_121,2008,2.126335002,-119.0,37.16666667
128,Pinus contorta,51544_5_19_6_2_121,2018,2.54672388,-119.0,37.16666667
129,Pinus contorta,51544_5_19_6_2_122,2018,2.54672388,-119.0,37.16666667
130,Pinus contorta,51544_5_19_6_2_122,2008,2.202613002,-119.0,37.16666667
131,Pinus contorta,51544_5_19_6_2_123,2008,2.202613002,-119.0,37.16666667
132,Pinus contorta,51544_5_19_6_2_123,2018,2.59757588,-119.0,37.16666667
133,Pinus contorta,51544_5_19_6_3_107,2008,2.075483002,-119.0,37.16666667
134,Pinus contorta,51544_5_19_6_3_107,2018,2.47044588,-119.0,37.16666667
135,Pinus contorta,51544_5_19_6_4_110,2008,4.935908002,-119.0,37.16666667
136,Pinus contorta,51544_5_19_6_4_110,2018,5.33087088,-119.0,37.16666667
137,Pinus contorta,51544_5_19_6_4_111,2008,2.100909002,-119.0,37.16666667
138,Pinus contorta,51544_5_19_6_4_111,2018,2.49587188,-119.0,37.16666667
139,Pinus contorta,51544_5_19_6_4_113,2008,-0.314560998,-119.0,37.16666667
140,Pinus contorta,51544_5_19_6_4_113,2018,0.16939288,-119.0,37.16666667
141,Pinus contorta,51544_5_19_6_4_115,2008,0.397367002,-119.0,37.16666667
142,Pinus contorta,51544_5_19_6_4_115,2018,0.79232988,-119.0,37.16666667
143,Pinus contorta,51544_5_19_6_4_116,2008,0.842322002,-119.0,37.16666667
144,Pinus contorta,51544_5_19_6_4_116,2018,1.30084988,-119.0,37.16666667
145,Pinus contorta,51544_5_19_6_4_117,2008,0.066829002,-119.0,37.16666667
146,Pinus contorta,51544_5_19_6_4_117,2018,0.44907888,-119.0,37.16666667
147,Pinus contorta,51544_5_19_6_4_118,2008,2.266178002,-119.0,37.16666667
148,Pinus contorta,51544_5_19_6_4_118,2018,2.66114088,-119.0,37.16666667
149,Pinus contorta,51824_5_109_6_1_300,2007,2.355242038,-119.75,37.875
150,Pinus contorta,51824_5_109_6_1_300,2017,2.15540515,-119.75,37.875
151,Pinus contorta,51846_5_51_6_2_131,2003,0.69913871,-119.5833333,38.375
152,Pinus contorta,51846_5_51_6_2_131,2013,2.211261138,-119.5833333,38.375
153,Pinus contorta,51846_5_51_6_2_132,2003,1.29664971,-119.5833333,38.375
154,Pinus contorta,51846_5_51_6_2_132,2013,2.808772138,-119.5833333,38.375
155,Pinus contorta,51846_5_51_6_2_133,2003,0.99153771,-119.5833333,38.375
156,Pinus contorta,51846_5_51_6_2_133,2013,2.490947138,-119.5833333,38.375
