,Species,TREE_ID,X_old,X,Y_old,Y,Year,logF_current
49,Quercus agrifolia,51557_6_73_6_1_103,-116.5834133,-116.5835133,32.91668,32.91678,2021,NA
50,Quercus agrifolia,51557_6_73_6_2_106,-116.5833833,-116.5835833,32.91675,32.91755,2001,3.748110521
51,Quercus agrifolia,51557_6_73_6_2_106,-116.5833433,-116.5837433,32.91671,32.91681,2021,3.687338911
52,Quercus agrifolia,51557_6_73_6_2_106,-116.5833433,-116.5840433,32.91671,32.91721,2011,4.322337293
53,Quercus agrifolia,51557_6_73_6_2_108,-116.5834133,-116.5837133,32.91672,32.91712,2001,3.243901753
54,Quercus agrifolia,51557_6_73_6_2_108,-116.5833533,-116.5840533,32.91669,32.91719,2011,2.976982228
55,Quercus agrifolia,51557_6_73_6_2_108,-116.5834133,-116.5843133,32.91676,32.91686,2021,2.842029365
56,Quercus agrifolia,51773_3_113_6_1_104,-122.0834033,-122.0843033,38.5417,38.5425,2002,1.64272865
57,Quercus agrifolia,51773_3_113_6_1_104,-122.0833333,-122.0836333,38.54173,38.54243,2012,2.050985747
58,Quercus agrifolia,51773_3_113_6_1_105,-122.0833533,-122.0834533,38.54174,38.54174,2002,1.596932984
59,Quercus agrifolia,51773_3_113_6_1_105,-122.0833533,-122.0841533,38.54171,38.54241,2012,2.026460479
60,Quercus agrifolia,51773_3_113_6_1_106,-122.0833933,-122.0836933,38.54168,38.54238,2002,1.632909017
61,Quercus agrifolia,51773_3_113_6_1_106,-122.0833533,-122.0840533,38.54167,38.54187,2012,2.026852934
62,Quercus agrifolia,51773_3_113_6_1_108,-122.0833333,-122.0834333,38.54169,38.54189,2002,1.573770778
63,Quercus agrifolia,51773_3_113_6_1_108,-122.0833633,-122.0837633,38.54173,38.54213,2012,1.950689689
64,Quercus agrifolia,51773_3_113_6_3_117,-122.0833933,-122.0833933,38.54169,38.54169,2002,1.42279558
65,Quercus agrifolia,51773_3_113_6_3_117,-122.0833733,-122.0842733,38.54168,38.54198,2012,1.936424958
66,Quercus agrifolia,51773_3_113_6_3_118,-122.0833633,-122.0840633,38.54171,38.54171,2002,1.286302117
67,Quercus agrifolia,51773_3_113_6_3_118,-122.0833933,-122.0835933,38.54176,38.54186,2012,1.764280947
68,Quercus agrifolia,51820_4_79_6_3_112,-120.4583333,-120.4590333,35.33334,35.33374,2005,2.259619211
69,Quercus agrifolia,51820_4_79_6_3_112,-120.4583533,-120.4589533,35.33334,35.33394,2015,1.462874461
70,Quercus agrifolia,51820_4_79_6_3_113,-120.4583733,-120.4592733,35.33334,35.33374,2005,2.347152421
71,Quercus agrifolia,51820_4_79_6_3_113,-120.4584133,-120.4589133,35.33337,35.33347,2015,1.587556341
72,Quercus agrifolia,51820_4_79_6_4_115,-120.4583933,-120.4588933,35.33338,35.33358,2005,2.102021508
73,Quercus agrifolia,51820_4_79_6_4_115,-120.4583533,-120.4584533,35.33342,35.33372,2015,1.342452837
