Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
66,Abies concolor,50167_3_91_6_3_377,2009,5.229958589,-120.787907,39.576549
67,Abies concolor,50167_3_91_6_3_377,2019,4.960305942,-120.787907,39.576549
68,Abies concolor,50167_3_91_6_3_377,2019,5.357467429,-120.787907,39.576549
69,Abies concolor,50167_3_91_6_3_384,2009,4.923000492,-120.787907,39.576549
70,Abies concolor,50167_3_91_6_3_384,2009,5.230923899,-120.787907,39.576549
71,Abies concolor,50167_3_91_6_3_384,2019,4.961199903,-120.787907,39.576549
72,Abies concolor,50167_3_91_6_3_384,2019,5.35836139,-120.787907,39.576549
73,Abies concolor,50167_3_91_6_4_337,2009,4.922912355,-120.787907,39.576549
74,Abies concolor,50167_3_91_6_4_337,2009,5.230835762,-120.787907,39.576549
75,Abies concolor,50167_3_91_6_4_337,2019,4.961103372,-120.787907,39.576549
76,Abies concolor,50167_3_91_6_4_337,2019,5.358264859,-120.787907,39.576549
77,Abies concolor,50189_2_105_6_4_135,2002,5.007594077,-122.752587,40.954744
78,Abies concolor,50189_2_105_6_4_135,2002,5.363346214,-122.752587,40.954744
79,Abies concolor,50189_2_105_6_4_135,2012,4.862816753,-122.752587,40.954744
80,Abies concolor,50189_2_105_6_4_135,2012,5.177333129,-122.752587,40.954744
81,Abies concolor,50189_2_105_6_4_141,2002,5.007514334,-122.752587,40.954744
82,Abies concolor,50189_2_105_6_4_141,2002,5.363266471,-122.752587,40.954744
83,Abies concolor,50189_2_105_6_4_141,2012,4.862707631,-122.752587,40.954744
84,Abies concolor,50189_2_105_6_4_141,2012,5.177224007,-122.752587,40.954744
85,Abies concolor,50206_3_17_6_1_100,2001,5.27497568,-120.008184,38.818547
86,Abies concolor,50206_3_17_6_1_100,2001,5.527035161,-120.008184,38.818547
87,Abies concolor,50206_3_17_6_1_100,2011,3.174864669,-120.008184,38.818547
88,Abies concolor,50206_3_17_6_1_100,2011,3.548951191,-120.008184,38.818547
89,Abies concolor,50206_3_17_6_1_100,2021,5.342487807,-120.008184,38.818547
90,Abies concolor,50206_3_17_6_1_100,2021,5.722545047,-120.008184,38.818547
91,Abies concolor,50206_3_17_6_1_101,2001,5.275047029,-120.008184,38.818547
92,Abies concolor,50206_3_17_6_1_101,2001,5.52710651,-120.008184,38.818547
93,Abies concolor,50206_3_17_6_1_101,2011,3.174927624,-120.008184,38.818547
94,Abies concolor,50206_3_17_6_1_101,2011,3.549014146,-120.008184,38.818547
95,Abies concolor,50206_3_17_6_1_101,2021,5.342550762,-120.008184,38.818547
96,Abies concolor,50206_3_17_6_1_101,2021,5.722608002,-120.008184,38.818547
97,Abies concolor,50206_3_17_6_1_102,2001,5.274648314,-120.008184,38.818547
98,Abies concolor,50206_3_17_6_1_102,2001,5.526707795,-120.008184,38.818547
99,Abies concolor,50206_3_17_6_1_102,2011,3.174486939,-120.008184,38.818547
100,Abies concolor,50206_3_17_6_1_102,2011,3.548573461,-120.008184,38.818547
101,Abies concolor,50206_3_17_6_1_102,2021,5.342051319,-120.008184,38.818547
102,Abies concolor,50206_3_17_6_1_102,2021,5.722108559,-120.008184,38.818547
103,Abies concolor,50206_3_17_6_1_103,2001,5.274715466,-120.008184,38.818547
104,Abies concolor,50206_3_17_6_1_103,2001,5.526774947,-120.008184,38.818547
105,Abies concolor,50206_3_17_6_1_103,2011,3.174554091,-120.008184,38.818547
106,Abies concolor,50206_3_17_6_1_103,2011,3.548640613,-120.008184,38.818547
107,Abies concolor,50206_3_17_6_1_103,2021,5.342143653,-120.008184,38.818547
108,Abies concolor,50206_3_17_6_1_103,2021,5.722200893,-120.008184,38.818547
109,Abies concolor,50206_3_17_6_1_104,2001,5.274660905,-120.008184,38.818547
110,Abies concolor,50206_3_17_6_1_104,2001,5.526720386,-120.008184,38.818547
111,Abies concolor,50206_3_17_6_1_104,2011,3.174507924,-120.008184,38.818547
112,Abies concolor,50206_3_17_6_1_104,2011,3.548594446,-120.008184,38.818547
113,Abies concolor,50206_3_17_6_1_104,2021,5.342072304,-120.008184,38.818547
114,Abies concolor,50206_3_17_6_1_104,2021,5.722129544,-120.008184,38.818547
115,Abies concolor,50206_3_17_6_1_105,2001,5.274853967,-120.008184,38.818547
116,Abies concolor,50206_3_17_6_1_105,2001,5.526913448,-120.008184,38.818547
117,Abies concolor,50206_3_17_6_1_105,2011,3.174730365,-120.008184,38.818547
118,Abies concolor,50206_3_17_6_1_105,2011,3.548816887,-120.008184,38.818547
119,Abies concolor,50206_3_17_6_1_105,2021,5.342349306,-120.008184,38.818547
120,Abies concolor,50206_3_17_6_1_105,2021,5.722406546,-120.008184,38.818547
121,Abies concolor,50206_3_17_6_1_106,2001,5.274828785,-120.008184,38.818547
122,Abies concolor,50206_3_17_6_1_106,2001,5.526888266,-120.008184,38.818547
123,Abies concolor,50206_3_17_6_1_106,2011,3.174671607,-120.008184,38.818547
124,Abies concolor,50206_3_17_6_1_106,2011,3.548758129,-120.008184,38.818547
125,Abies concolor,50206_3_17_6_1_106,2021,5.342252775,-120.008184,38.818547
126,Abies concolor,50206_3_17_6_1_106,2021,5.722310015,-120.008184,38.818547
127,Abies concolor,50206_3_17_6_1_107,2001,5.274895937,-120.008184,38.818547
128,Abies concolor,50206_3_17_6_1_107,2001,5.526955418,-120.008184,38.818547
129,Abies concolor,50206_3_17_6_1_107,2011,3.174759744,-120.008184,38.818547
130,Abies concolor,50206_3_17_6_1_107,2011,3.548846266,-120.008184,38.818547
131,Abies concolor,50206_3_17_6_1_107,2021,5.342370291,-120.008184,38.818547
132,Abies concolor,50206_3_17_6_1_107,2021,5.722427531,-120.008184,38.818547
133,Abies concolor,50206_3_17_6_1_108,2001,5.274757436,-120.008184,38.818547
134,Abies concolor,50206_3_17_6_1_108,2001,5.526816917,-120.008184,38.818547
135,Abies concolor,50206_3_17_6_1_108,2011,3.174612849,-120.008184,38.818547
136,Abies concolor,50206_3_17_6_1_108,2011,3.548699371,-120.008184,38.818547
137,Abies concolor,50206_3_17_6_1_108,2021,5.342215002,-120.008184,38.818547
138,Abies concolor,50206_3_17_6_1_108,2021,5.722272242,-120.008184,38.818547
